coinc_event_id,simulation_id,far,snr,searched_area,searched_prob,searched_prob_dist,searched_vol,searched_prob_vol,offset,runtime,distmean,diststd,log_bci,log_bsn,area(20),area(50),area(90),dist(20),dist(50),dist(90),vol(20),vol(50),vol(90),event_id,percent_coverage,texp_sched (ks),tiles_to_90pct,tiles_total,visit_total
1223,1223,0.0,36.49666609131571,0.2999819083469587,0.2015083433114596,0.8711090473281848,604.9158298434538,0.4719848595113641,0.2309906449820516,135.2375392941758,173.77289292831864,26.897832588735824,23.00559602136603,422.2715820521202,0.2974476470399171,0.9356092959712132,3.250012232825687,13.589810317993908,36.191780707662105,88.44738083113924,180.1032578832356,667.3957575351305,3086.787447919028,1223,100.00000000000028,0.3,1,13,2
1229,1229,0.0,18.86266076757048,27.434411027838355,0.5978003248913142,0.4739484287907225,58799.92012159032,0.4194105589412176,4.909546939535104,81.77679927647114,301.71549631351616,57.96947401126648,13.445988847486404,95.2491564012762,4.962128192349896,20.221722051714707,86.33573077514936,28.832785287195406,76.91207676006172,189.97027552067533,19157.30173474424,79712.53660330546,460398.05302859633,1229,95.12629141327838,1.5456051625386569,7,8,2
1263,1263,0.0,34.58830852225211,10.94032380495894,0.5366951904852106,0.109865242714482,12316.22048983684,0.4314181354812442,1.6940371598123845,153.20020766195375,206.8452494877993,44.84439627347548,12.926365486590647,378.20628904612096,2.8120185752688145,9.666821008601062,40.538712224844254,22.567984408163767,60.22837894136012,148.32652362652792,3943.7057273444216,16058.228572675853,83124.54298881862,1263,95.7796208740263,9.839642869255645,3,5,2
1679,1679,0.0,14.03418027941993,1.8671005115146728,0.2639352407946111,0.7280343105605022,24649.56319046031,0.2917641779061197,0.6365751644847562,72.81068543624133,455.5859822695559,90.78972692887942,16.980983033474907,40.73808526958549,1.3500466504013433,4.352098964503462,15.823114384649976,45.794607037024775,121.9558692638002,297.99518269286267,14926.182981763715,57048.95996667783,280542.0395327108,1679,99.9145670008186,13.217556297898142,1,1,2
1762,1762,0.0,13.91635018294661,3.865340655093666,0.3413576665607513,0.4239226304948121,55499.836647954726,0.1807954592134435,1.1442336668136412,134.57031432073563,645.6430827959034,146.53185921293155,14.586002542185248,37.98360621566314,2.0195000965927,6.681285317292796,42.74391223426032,73.72130806709868,196.4148424112229,481.42476986293127,63095.79935116608,252800.68727418507,2280894.474366436,1762,94.78299684650756,13.324339154747724,1,2,2
1800,1800,0.0,25.60345637804543,11.209160050690585,0.2834109477345808,0.3352128986339964,88132.2956745086,0.2037194550492239,0.9837422801527604,135.9390379237011,431.56785893478656,115.99577915127205,6.242868663009638,193.03557634388315,7.312044793447219,25.322885842477543,123.66357516766546,57.48469482206502,157.03152223008505,387.88776174045296,86011.37405576641,341158.4577161505,1538416.338669042,1800,93.29971120781228,2.7167742685611733,2,2,2
2054,2054,0.0,41.20570241954749,0.5294762644593892,0.817384669258197,0.1427785816519293,144.12334698254713,0.7618265568678871,0.4268605775064651,160.16649260837585,136.3127788715727,16.21913338924603,43.62190944206348,547.9833188364942,0.0690408634985167,0.2149853999891229,0.7185234998786811,8.212996857916181,21.865132557805225,53.35476293698302,16.410538648551572,59.75799629866295,262.27478880192893,2054,100.00000000000024,0.4309978771631214,1,1,2
2138,2138,0.0,26.51170029125787,2.386741303569148,0.5979584276475283,0.1940865268075034,2875.116675150762,0.470353260467005,0.5084844923358925,122.68556402809918,239.3928853622861,37.87854189524673,35.493508292128965,208.0843804438321,0.5812438701223275,1.8110255635461492,6.171257599525532,18.801697210173444,50.14683173304636,123.87148757504512,864.4571653582911,3189.293102642297,14643.33932829037,2138,99.99750959452469,0.5231341612765266,1,1,2
2286,2286,0.0,12.67124692538905,0.3983366323951402,0.0394456137043737,0.2833059910137286,1649.105914769489,0.0156177784504818,0.3413407980041496,67.73272700514644,451.7997517358756,104.2567842000584,13.265283926836284,28.164778325642608,2.272471769495649,7.637537951841315,38.680965819956846,52.91056146916998,140.7879721956562,342.5083632930516,28709.71923238761,115618.48521744898,705716.0174388695,2286,99.680938127974,2.9642770542561103,3,3,2
2313,2313,0.0,28.98740832812472,4.088278029602783,0.4697975248959675,0.7250784384054814,5501.996173006094,0.3847063589376447,4.92672315292321,127.94638330303133,218.4198660878442,50.17803746365133,9.875838532496516,257.9619540448677,1.3812111472505622,4.487247654428677,18.294846816958003,25.18453710512452,67.44688688160684,165.7359632945073,2230.601738935449,8483.27697813665,41866.329808438735,2313,98.07415703303424,0.3,6,7,2
2352,2352,0.0,15.79841245813802,13.028722445581648,0.3159393166475226,0.0933234493874503,145833.96179783694,0.3190977618881264,1.097633941164432,87.10230961535126,411.57242654043057,100.01280184277644,14.10356426864989,58.09371972848883,7.438435961026452,25.308473500345038,134.86748932341678,50.3791069713663,134.26858010445483,329.54577493547947,76223.17294828841,321689.5604652987,2071626.3008944232,2352,91.06167199790444,12.871180982530197,3,3,2
2937,2937,0.0,17.46831632847072,1.5540046399613354,0.2495537773632781,0.8820291064767912,16589.570936314427,0.6257728680438593,1.1388500285195462,81.72124374471605,257.21722902433123,54.3818541312709,16.62899432715838,74.95678089374802,1.201611045677255,3.886665884619036,15.657155773806636,26.55282382245278,70.94457410581822,177.79145650955687,2762.950747906068,10592.74402990072,56032.71986618662,2937,98.79035156794906,2.445113797872452,2,3,2
